Label (Grouping),Year,Total:,No Formal Education,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 99.06, Multnomah County, Oregon!!Estimate",2019,"2,700",26,0,0,0,0,0,0,0,46,0,0,0,18,28,14,446,71,157,699,246,699,187,17,46
"Census Tract 99.07, Multnomah County, Oregon!!Estimate",2019,"3,869",40,49,0,8,39,0,0,0,69,42,43,28,45,52,101,802,153,456,548,338,632,330,68,26
"Census Tract 100.01, Multnomah County, Oregon!!Estimate",2019,"4,051",69,0,0,0,0,0,22,32,120,37,0,185,139,55,43,741,233,321,700,391,637,280,46,0
"Census Tract 100.02, Multnomah County, Oregon!!Estimate",2019,"3,623",49,0,0,0,0,0,0,0,10,3,0,0,35,94,66,642,235,171,782,411,708,236,111,70
"Census Tract 101, Multnomah County, Oregon!!Estimate",2019,"6,286",30,0,0,0,52,67,0,0,0,0,0,139,46,273,162,"1,488",391,614,"1,273",590,777,295,40,49
"Census Tract 102, Multnomah County, Oregon!!Estimate",2019,"4,614",222,0,0,0,0,101,0,0,28,0,37,111,185,26,87,"1,079",334,284,790,247,649,331,95,8
"Census Tract 103.03, Multnomah County, Oregon!!Estimate",2019,"3,741",0,0,0,0,0,0,0,0,0,0,0,48,0,30,49,"1,000",183,360,821,469,543,178,30,30
"Census Tract 103.04, Multnomah County, Oregon!!Estimate",2019,"2,691",66,0,0,25,0,32,32,60,147,32,29,103,73,54,26,591,187,240,563,149,199,51,32,0
"Census Tract 103.05, Multnomah County, Oregon!!Estimate",2019,"2,819",28,7,0,0,0,30,0,0,7,0,21,15,39,32,33,620,128,299,480,406,534,87,39,14
"Census Tract 103.06, Multnomah County, Oregon!!Estimate",2019,"3,278",51,0,0,0,0,0,0,0,44,0,0,39,143,0,69,665,163,350,679,410,458,151,45,11
"Census Tract 104.02, Multnomah County, Oregon!!Estimate",2019,"4,933",93,24,0,0,0,0,0,73,72,0,9,18,16,32,129,837,348,373,905,523,"1,081",289,94,17
"Census Tract 104.05, Multnomah County, Oregon!!Estimate",2019,"4,094",68,0,0,117,0,0,22,26,78,0,35,88,158,12,116,681,205,258,736,573,670,167,84,0
"Census Tract 104.07, Multnomah County, Oregon!!Estimate",2019,"3,877",46,12,0,0,0,0,0,0,116,0,18,14,21,8,87,922,190,412,831,373,526,268,26,7
"Census Tract 104.08, Multnomah County, Oregon!!Estimate",2019,"3,673",30,0,0,0,45,0,0,0,53,0,80,59,101,110,194,887,170,369,579,371,327,261,37,0
"Census Tract 104.09, Multnomah County, Oregon!!Estimate",2019,"5,438",30,0,0,0,0,0,0,0,156,0,0,48,29,16,63,"1,108",244,370,"1,008",750,"1,051",480,66,19
"Census Tract 104.10, Multnomah County, Oregon!!Estimate",2019,"2,950",28,0,0,0,18,0,9,0,0,0,47,115,106,5,111,718,152,199,476,405,444,88,9,20
"Census Tract 104.11, Multnomah County, Oregon!!Estimate",2019,"2,336",44,0,0,0,0,19,21,38,24,0,47,78,81,30,96,508,228,217,352,243,243,54,13,0
"Census Tract 105, Multnomah County, Oregon!!Estimate",2019,"2,801",12,1,0,0,0,0,0,0,15,0,0,0,52,56,48,372,119,200,525,376,548,322,93,62
"Census Tract 106, Multnomah County, Oregon!!Estimate",2019,"2,992",72,0,0,0,0,17,11,0,15,0,102,45,27,71,13,342,210,283,721,215,438,214,107,89
"Census Tract 9800, Multnomah County, Oregon!!Estimate",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 1.01, Multnomah County, Oregon!!Estimate",2020,"2,007",0,0,0,0,0,0,0,0,0,1,0,0,0,17,1,117,64,37,247,100,884,354,77,108
"Census Tract 1.02, Multnomah County, Oregon!!Estimate",2020,"2,889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,153,53,122,254,159,"1,192",479,310,130
"Census Tract 2.01, Multnomah County, Oregon!!Estimate",2020,"2,697",78,0,0,0,0,0,0,0,0,0,1,0,0,86,23,406,98,72,616,174,684,270,144,45
"Census Tract 2.02, Multnomah County, Oregon!!Estimate",2020,"2,197",4,0,0,0,0,0,16,0,0,0,0,0,0,0,14,126,18,188,462,76,717,435,41,100
"Census Tract 3.01, Multnomah County, Oregon!!Estimate",2020,"3,769",0,0,0,0,0,0,0,0,0,18,25,0,22,77,23,522,99,96,526,320,"1,088",740,125,88
"Census Tract 3.02, Multnomah County, Oregon!!Estimate",2020,"5,577",133,0,0,0,0,0,0,0,0,0,0,8,13,18,12,326,113,162,578,295,"1,869","1,438",446,166
"Census Tract 4.01, Multnomah County, Oregon!!Estimate",2020,"2,720",7,0,0,0,0,9,0,0,14,0,0,0,0,25,7,336,37,134,418,127,859,466,195,86
"Census Tract 4.02, Multnomah County, Oregon!!Estimate",2020,"2,633",0,10,0,0,0,0,0,0,0,0,0,7,12,31,61,365,152,180,376,252,776,333,29,49
"Census Tract 5.01, Multnomah County, Oregon!!Estimate",2020,"3,194",21,0,0,0,0,0,0,10,0,22,80,8,40,51,48,318,204,173,475,188,"1,033",402,41,80
"Census Tract 5.02, Multnomah County, Oregon!!Estimate",2020,"3,782",213,0,0,0,0,19,0,0,7,7,23,24,22,24,53,430,151,327,744,230,"1,012",351,116,29
"Census Tract 6.01, Multnomah County, Oregon!!Estimate",2020,"3,984",132,0,0,0,0,0,0,23,54,0,19,11,27,56,123,902,232,272,598,308,879,312,27,9
"Census Tract 6.02, Multnomah County, Oregon!!Estimate",2020,"4,725",145,0,0,0,0,0,7,0,82,0,181,134,79,21,165,"1,159",286,311,594,421,843,258,19,20
"Census Tract 7.01, Multnomah County, Oregon!!Estimate",2020,"3,741",32,0,0,9,0,18,0,0,0,0,47,16,11,2,54,323,71,104,808,380,"1,251",509,50,56
"Census Tract 7.02, Multnomah County, Oregon!!Estimate",2020,"4,345",142,0,0,0,20,0,0,6,14,0,36,79,14,34,61,513,316,207,574,500,"1,075",582,119,53
"Census Tract 8.01, Multnomah County, Oregon!!Estimate",2020,"3,991",46,0,0,0,0,0,0,11,0,0,16,0,12,17,0,278,120,229,820,304,"1,166",427,405,140
"Census Tract 8.02, Multnomah County, Oregon!!Estimate",2020,"4,133",0,0,0,0,0,0,0,0,43,50,32,120,0,47,21,459,76,236,707,284,"1,608",361,38,51
"Census Tract 9.01, Multnomah County, Oregon!!Estimate",2020,"3,509",7,0,0,0,0,0,0,0,12,0,0,0,0,0,18,146,24,42,504,306,"1,494",659,191,106
"Census Tract 9.02, Multnomah County, Oregon!!Estimate",2020,"4,162",54,0,0,0,10,17,1,0,0,0,114,25,42,151,56,473,107,280,746,222,"1,227",452,136,49
"Census Tract 10, Multnomah County, Oregon!!Estimate",2020,"4,888",56,0,0,0,0,0,0,0,0,0,52,43,60,0,103,332,33,182,994,252,"1,623",812,263,83
"Census Tract 11.01, Multnomah County, Oregon!!Estimate",2020,"2,631",9,0,0,0,0,0,0,0,2,0,0,32,9,13,12,311,84,151,480,125,962,324,81,36
"Census Tract 11.02, Multnomah County, Oregon!!Estimate",2020,"1,197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,4,50,149,66,503,218,77,25
"Census Tract 12.02, Multnomah County, Oregon!!Estimate",2020,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,522,14,118,365,77,987,656,172,87
"Census Tract 12.03, Multnomah County, Oregon!!Estimate",2020,"2,234",19,0,0,0,0,0,0,0,9,0,0,0,0,0,0,210,73,55,283,181,"1,009",269,84,42
"Census Tract 12.04, Multnomah County, Oregon!!Estimate",2020,"2,246",8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,226,91,71,481,53,885,238,41,144
"Census Tract 13.01, Multnomah County, Oregon!!Estimate",2020,"3,365",31,0,0,0,0,5,0,0,4,0,0,0,4,16,15,242,14,92,506,105,"1,504",550,190,87
"Census Tract 13.02, Multnomah County, Oregon!!Estimate",2020,"2,946",23,0,0,0,0,0,0,0,0,0,0,0,9,0,16,165,54,62,319,170,"1,107",725,239,57
"Census Tract 14, Multnomah County, Oregon!!Estimate",2020,"4,645",56,0,0,0,0,0,0,0,0,28,22,0,81,0,71,117,123,173,848,305,"1,842",727,133,119
"Census Tract 15, Multnomah County, Oregon!!Estimate",2020,"2,720",4,0,0,0,0,0,0,0,0,0,0,0,0,7,9,170,2,122,280,175,896,733,192,130
"Census Tract 16.01, Multnomah County, Oregon!!Estimate",2020,"4,480",18,0,0,0,0,6,0,0,37,8,26,40,11,19,191,518,103,234,623,156,"1,525",710,206,49
"Census Tract 16.02, Multnomah County, Oregon!!Estimate",2020,"3,872",67,0,0,0,12,26,0,0,0,3,2,12,73,16,47,639,106,254,485,409,"1,326",317,39,39
"Census Tract 17.02, Multnomah County, Oregon!!Estimate",2020,"2,970",74,0,0,1,0,0,0,0,20,0,8,35,10,0,15,349,50,212,571,369,916,279,27,34
"Census Tract 17.03, Multnomah County, Oregon!!Estimate",2020,"3,049",64,0,0,0,0,0,0,0,10,0,0,0,47,20,0,272,17,175,517,217,959,581,60,110
"Census Tract 17.04, Multnomah County, Oregon!!Estimate",2020,"2,137",11,0,0,0,0,0,0,0,0,0,0,42,0,0,180,418,26,101,307,47,578,338,37,52
"Census Tract 18.01, Multnomah County, Oregon!!Estimate",2020,"3,713",44,3,0,0,25,0,0,3,0,0,5,4,38,3,84,529,134,160,533,158,"1,282",519,102,87
"Census Tract 18.02, Multnomah County, Oregon!!Estimate",2020,"2,855",0,0,0,0,0,0,0,0,0,0,0,21,0,0,26,230,52,78,558,280,922,490,109,89
"Census Tract 19, Multnomah County, Oregon!!Estimate",2020,"3,805",0,0,0,0,0,0,0,9,0,0,6,5,6,14,13,205,62,136,364,133,"1,625",778,294,155
"Census Tract 20.01, Multnomah County, Oregon!!Estimate",2020,"2,312",13,0,0,0,0,0,0,0,0,0,0,0,0,0,84,166,115,117,262,107,"1,072",333,32,11
"Census Tract 20.02, Multnomah County, Oregon!!Estimate",2020,"3,210",5,0,0,0,0,0,0,0,0,0,0,0,17,142,0,158,43,149,623,147,"1,266",548,91,21
"Census Tract 21.01, Multnomah County, Oregon!!Estimate",2020,"1,311",0,0,0,0,0,0,0,0,0,0,20,0,0,17,20,99,21,74,141,0,552,357,0,10
"Census Tract 21.02, Multnomah County, Oregon!!Estimate",2020,"1,849",0,0,0,0,0,0,0,0,0,0,11,0,13,0,9,81,11,21,435,41,977,217,29,4
"Census Tract 22.03, Multnomah County, Oregon!!Estimate",2020,"3,794",11,0,0,0,0,0,0,0,0,0,34,9,8,17,21,391,100,109,378,187,"1,215","1,095",101,118
"Census Tract 23.03, Multnomah County, Oregon!!Estimate",2020,"3,179",0,10,0,0,0,0,0,0,0,0,0,24,0,17,23,287,51,136,539,233,"1,295",421,110,33
"Census Tract 24.01, Multnomah County, Oregon!!Estimate",2020,"2,197",0,0,0,0,0,0,0,0,0,0,0,0,35,67,24,161,33,70,217,65,735,551,141,98
"Census Tract 24.02, Multnomah County, Oregon!!Estimate",2020,"2,874",0,0,0,0,0,0,0,0,0,0,0,0,20,21,0,335,68,69,306,136,"1,255",366,188,110
"Census Tract 25.01, Multnomah County, Oregon!!Estimate",2020,"3,556",14,0,0,0,0,0,0,7,0,0,0,0,22,7,0,139,15,26,240,110,"1,388",898,484,206
"Census Tract 25.02, Multnomah County, Oregon!!Estimate",2020,"3,560",31,0,0,0,0,0,0,0,0,0,14,0,0,0,0,237,131,257,287,241,"1,360",697,246,59
"Census Tract 26, Multnomah County, Oregon!!Estimate",2020,"2,229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,34,35,116,154,89,953,414,200,118
"Census Tract 27.01, Multnomah County, Oregon!!Estimate",2020,"2,188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,111,40,35,357,50,875,480,153,77
"Census Tract 27.02, Multnomah County, Oregon!!Estimate",2020,"2,987",18,0,0,0,0,0,0,16,0,0,0,22,10,35,21,246,98,36,299,160,"1,338",452,155,81
"Census Tract 28.01, Multnomah County, Oregon!!Estimate",2020,"2,363",35,0,0,0,0,0,0,0,0,0,0,0,25,0,43,189,64,76,276,230,904,396,93,32
"Census Tract 28.02, Multnomah County, Oregon!!Estimate",2020,"2,515",3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,258,77,151,330,139,913,485,71,63
"Census Tract 29.01, Multnomah County, Oregon!!Estimate",2020,"4,010",126,0,0,0,0,0,0,13,0,0,0,0,40,0,15,461,105,152,676,286,"1,464",501,106,65
"Census Tract 29.02, Multnomah County, Oregon!!Estimate",2020,"4,698",112,0,0,0,0,0,0,0,0,0,0,35,0,0,27,515,71,239,557,362,"1,407",988,293,92
"Census Tract 29.03, Multnomah County, Oregon!!Estimate",2020,"3,457",32,0,0,0,0,0,76,0,0,0,0,90,0,61,10,801,81,368,556,371,711,238,33,29
"Census Tract 30, Multnomah County, Oregon!!Estimate",2020,"4,031",31,0,0,0,0,0,0,0,0,0,14,0,15,5,0,217,72,286,622,250,"1,441",757,216,105
"Census Tract 31, Multnomah County, Oregon!!Estimate",2020,"4,173",0,0,0,0,0,12,0,0,0,0,10,12,0,12,15,202,192,133,589,336,"1,494",695,339,132
"Census Tract 32, Multnomah County, Oregon!!Estimate",2020,"3,425",16,0,0,0,0,0,0,0,0,20,0,16,27,12,17,260,37,85,318,117,"1,274",805,278,143
"Census Tract 33.01, Multnomah County, Oregon!!Estimate",2020,"2,366",65,0,0,0,0,0,0,0,0,0,0,0,28,33,10,269,98,220,349,119,681,363,68,63
"Census Tract 33.02, Multnomah County, Oregon!!Estimate",2020,"2,820",0,0,0,0,0,0,0,0,0,0,0,54,0,13,54,613,42,149,451,67,724,525,113,15
"Census Tract 34.01, Multnomah County, Oregon!!Estimate",2020,"2,764",9,0,0,0,0,0,0,0,0,0,4,0,9,0,32,360,96,102,196,276,963,491,161,65
"Census Tract 34.02, Multnomah County, Oregon!!Estimate",2020,"3,761",0,0,0,0,0,0,0,0,0,29,1,23,37,1,20,261,52,84,227,220,"1,956",614,150,86
"Census Tract 35.01, Multnomah County, Oregon!!Estimate",2020,"2,786",39,0,0,0,0,0,0,0,0,0,0,0,5,24,0,184,161,178,322,98,"1,235",368,96,76
"Census Tract 35.02, Multnomah County, Oregon!!Estimate",2020,"2,413",10,0,0,0,0,0,0,0,0,0,0,0,0,3,94,450,50,54,237,64,"1,002",313,93,43
"Census Tract 36.01, Multnomah County, Oregon!!Estimate",2020,"3,701",9,0,0,0,0,0,0,0,0,0,0,10,0,17,91,273,82,220,442,328,"1,388",670,132,39
"Census Tract 36.02, Multnomah County, Oregon!!Estimate",2020,"5,223",58,0,0,0,0,1,0,0,1,41,0,0,0,13,82,427,87,117,"1,172",302,"1,855",857,84,126
"Census Tract 36.03, Multnomah County, Oregon!!Estimate",2020,"1,487",68,0,0,0,0,8,0,10,0,0,0,0,23,28,7,250,19,31,178,94,535,157,65,14
"Census Tract 37.01, Multnomah County, Oregon!!Estimate",2020,"3,503",141,0,0,0,42,0,15,0,108,9,31,21,35,5,13,397,72,191,558,169,"1,116",475,45,60
"Census Tract 37.02, Multnomah County, Oregon!!Estimate",2020,"2,260",0,0,0,0,0,0,0,0,0,0,0,17,27,16,10,181,36,37,385,133,927,334,143,14
"Census Tract 38.01, Multnomah County, Oregon!!Estimate",2020,"2,228",28,0,0,0,0,0,0,0,0,0,7,0,0,16,41,189,64,91,404,173,778,342,51,44
"Census Tract 38.02, Multnomah County, Oregon!!Estimate",2020,"2,688",32,0,0,0,0,0,0,0,24,0,16,11,0,7,42,255,80,143,279,313,965,390,74,57
"Census Tract 38.03, Multnomah County, Oregon!!Estimate",2020,"3,487",9,0,25,0,9,6,0,0,0,0,41,0,0,11,17,320,31,110,517,219,"1,652",337,70,113
"Census Tract 39.02, Multnomah County, Oregon!!Estimate",2020,"2,886",7,0,0,0,0,0,0,0,0,6,15,14,0,0,10,285,58,202,394,167,955,512,112,149
"Census Tract 39.03, Multnomah County, Oregon!!Estimate",2020,"2,900",0,0,0,0,0,0,0,0,29,0,120,95,69,1,42,430,81,162,371,153,771,433,143,0
"Census Tract 39.04, Multnomah County, Oregon!!Estimate",2020,"3,142",27,0,0,0,0,0,22,0,22,0,0,0,0,51,32,354,23,163,568,236,"1,025",475,107,37
"Census Tract 40.02, Multnomah County, Oregon!!Estimate",2020,"2,990",14,0,0,0,0,0,0,0,5,0,0,0,0,0,28,323,177,201,266,188,966,655,77,90
"Census Tract 40.03, Multnomah County, Oregon!!Estimate",2020,"5,051",314,0,0,0,0,47,41,36,52,0,21,67,245,208,80,825,175,248,936,248,"1,156",286,53,13
"Census Tract 41.02, Multnomah County, Oregon!!Estimate",2020,"4,492",59,0,0,0,0,0,11,0,0,0,26,54,28,12,76,628,435,195,442,210,"1,529",677,72,38
"Census Tract 41.03, Multnomah County, Oregon!!Estimate",2020,"3,380",47,0,0,0,0,0,0,47,0,0,0,25,47,0,64,467,49,260,445,371,"1,178",288,24,68
"Census Tract 41.04, Multnomah County, Oregon!!Estimate",2020,"2,204",0,0,0,0,0,41,0,41,64,0,0,73,12,137,3,456,111,74,406,201,433,79,73,0
"Census Tract 42, Multnomah County, Oregon!!Estimate",2020,"3,337",0,0,0,0,0,0,0,0,0,0,6,14,10,36,48,449,148,197,454,228,"1,232",363,53,99
"Census Tract 43, Multnomah County, Oregon!!Estimate",2020,843,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,169,1,40,60,30,255,189,56,27
"Census Tract 45, Multnomah County, Oregon!!Estimate",2020,"2,403",41,0,0,0,0,0,0,0,0,0,0,27,0,0,24,79,9,0,253,75,884,603,281,127
"Census Tract 46.01, Multnomah County, Oregon!!Estimate",2020,"2,747",23,0,0,0,0,0,0,0,0,0,0,34,0,0,0,108,25,109,147,66,924,632,438,241
"Census Tract 46.02, Multnomah County, Oregon!!Estimate",2020,"1,536",0,9,0,0,0,0,0,2,0,0,0,8,0,0,0,29,23,27,94,42,570,354,258,120
"Census Tract 47, Multnomah County, Oregon!!Estimate",2020,"3,745",0,0,0,0,0,0,0,0,0,4,12,0,0,0,30,301,27,83,285,101,"1,737",665,241,259
"Census Tract 48, Multnomah County, Oregon!!Estimate",2020,"2,230",1,0,0,0,0,0,0,0,0,0,12,40,0,0,0,173,17,63,408,55,992,266,96,107
"Census Tract 49.01, Multnomah County, Oregon!!Estimate",2020,"2,122",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,107,33,146,163,21,"1,148",322,148,33
"Census Tract 49.02, Multnomah County, Oregon!!Estimate",2020,"1,977",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,231,18,102,189,221,677,345,133,39
"Census Tract 50.01, Multnomah County, Oregon!!Estimate",2020,"2,605",0,0,0,0,0,0,0,0,0,0,29,0,0,0,12,113,30,43,146,79,"1,104",564,296,189
"Census Tract 50.02, Multnomah County, Oregon!!Estimate",2020,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,67,56,314,104,0,40
"Census Tract 51.01, Multnomah County, Oregon!!Estimate",2020,"2,961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,168,56,357,212,"1,102",339,430,179
"Census Tract 51.02, Multnomah County, Oregon!!Estimate",2020,"2,993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,33,0,195,77,"1,428",776,213,112
"Census Tract 51.03, Multnomah County, Oregon!!Estimate",2020,"2,645",0,0,0,0,0,0,0,0,19,0,7,72,206,77,46,518,240,143,514,64,330,351,58,0
"Census Tract 52.01, Multnomah County, Oregon!!Estimate",2020,"1,629",18,0,0,0,0,0,3,19,0,0,8,3,7,43,0,48,106,124,298,173,445,285,49,0
"Census Tract 52.02, Multnomah County, Oregon!!Estimate",2020,"2,195",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,128,69,31,185,87,"1,062",494,73,47
"Census Tract 55, Multnomah County, Oregon!!Estimate",2020,"2,053",39,0,0,0,0,0,0,0,0,0,8,63,17,26,9,100,67,98,299,83,656,347,164,77
"Census Tract 56.01, Multnomah County, Oregon!!Estimate",2020,"2,240",22,0,0,169,0,0,0,0,0,15,0,0,10,12,0,217,38,74,263,184,681,318,107,130
"Census Tract 56.02, Multnomah County, Oregon!!Estimate",2020,854,29,0,0,0,0,0,0,0,30,0,0,0,0,0,0,54,130,41,120,89,288,73,0,0
"Census Tract 57.01, Multnomah County, Oregon!!Estimate",2020,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,21,0,20,15,186,0,17,47
"Census Tract 57.02, Multnomah County, Oregon!!Estimate",2020,"3,139",47,0,0,0,0,0,0,7,6,0,18,0,0,22,17,102,5,84,343,116,"1,301",506,243,322
"Census Tract 58, Multnomah County, Oregon!!Estimate",2020,"3,729",1,0,0,0,0,0,0,0,0,0,24,0,0,1,0,95,54,130,322,239,"1,352",668,452,391
"Census Tract 59.01, Multnomah County, Oregon!!Estimate",2020,"1,940",0,0,0,0,0,44,0,0,0,0,15,0,0,0,11,80,0,2,309,93,766,437,91,92
"Census Tract 59.02, Multnomah County, Oregon!!Estimate",2020,"2,988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,78,16,65,300,184,"1,066",656,437,174
"Census Tract 59.03, Multnomah County, Oregon!!Estimate",2020,"2,505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,11,101,142,"1,177",605,294,100
"Census Tract 60.01, Multnomah County, Oregon!!Estimate",2020,"1,187",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,11,19,141,17,509,225,156,62
"Census Tract 60.02, Multnomah County, Oregon!!Estimate",2020,"1,895",0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,115,16,58,129,104,813,388,155,95
"Census Tract 61, Multnomah County, Oregon!!Estimate",2020,"2,057",8,0,0,0,0,0,0,0,0,6,0,0,27,0,4,137,22,0,198,38,859,454,230,74
"Census Tract 62, Multnomah County, Oregon!!Estimate",2020,"2,545",0,2,0,0,0,0,0,0,1,0,0,0,0,7,0,91,93,151,164,383,972,479,123,79
"Census Tract 63, Multnomah County, Oregon!!Estimate",2020,"3,257",7,0,0,0,0,0,0,0,0,0,0,10,0,13,6,185,12,81,430,80,"1,287",575,475,96
"Census Tract 64.02, Multnomah County, Oregon!!Estimate",2020,"4,463",0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,282,0,161,460,177,"1,582",838,695,236
"Census Tract 64.03, Multnomah County, Oregon!!Estimate",2020,"2,904",60,0,0,0,0,0,0,0,0,2,63,0,15,47,25,264,117,165,435,281,"1,086",260,67,17
"Census Tract 64.04, Multnomah County, Oregon!!Estimate",2020,"2,810",8,0,0,0,0,0,0,0,0,0,0,10,0,25,0,233,47,133,445,174,951,423,265,96
"Census Tract 65.01, Multnomah County, Oregon!!Estimate",2020,"4,556",0,0,0,0,0,0,0,0,0,0,20,0,57,0,18,409,44,167,774,157,"1,755",747,312,96
"Census Tract 65.02, Multnomah County, Oregon!!Estimate",2020,"3,753",0,0,0,0,0,0,0,0,1,0,0,10,0,91,0,219,16,89,837,213,"1,271",618,252,136
"Census Tract 66.01, Multnomah County, Oregon!!Estimate",2020,"2,187",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,96,30,65,320,97,905,307,163,199
"Census Tract 66.02, Multnomah County, Oregon!!Estimate",2020,"4,174",0,0,0,0,0,0,0,0,23,0,20,0,0,0,58,247,54,119,494,194,"1,691",997,235,42
"Census Tract 67.01, Multnomah County, Oregon!!Estimate",2020,"2,398",6,0,0,0,0,0,0,0,0,0,0,0,8,0,7,226,40,74,238,133,"1,051",416,107,92
"Census Tract 67.02, Multnomah County, Oregon!!Estimate",2020,"2,413",12,0,0,0,0,0,0,0,0,0,75,12,0,5,7,145,46,128,334,81,917,334,210,107
"Census Tract 68.01, Multnomah County, Oregon!!Estimate",2020,"1,533",0,0,0,0,0,0,0,0,1,0,12,0,27,10,10,130,36,71,165,26,485,375,135,50
"Census Tract 68.02, Multnomah County, Oregon!!Estimate",2020,"2,572",81,0,0,0,0,0,0,0,3,0,5,17,0,0,23,147,0,48,369,157,756,517,276,173
"Census Tract 69, Multnomah County, Oregon!!Estimate",2020,"2,046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,10,9,284,46,877,418,279,41
"Census Tract 70.01, Multnomah County, Oregon!!Estimate",2020,"3,697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,50,47,332,137,"1,334",917,512,221
"Census Tract 70.02, Multnomah County, Oregon!!Estimate",2020,"2,545",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,125,148,129,949,832,196,50
"Census Tract 71, Multnomah County, Oregon!!Estimate",2020,"2,006",42,0,0,0,0,0,17,32,0,0,0,0,28,18,34,225,29,111,439,204,542,171,86,28
"Census Tract 72.01, Multnomah County, Oregon!!Estimate",2020,"2,043",22,0,0,0,0,0,17,0,0,0,9,0,44,49,38,358,93,210,367,140,380,240,33,43
"Census Tract 72.02, Multnomah County, Oregon!!Estimate",2020,"2,432",58,0,0,0,0,0,44,0,65,0,22,12,0,19,91,288,48,60,587,298,578,185,38,39
"Census Tract 73, Multnomah County, Oregon!!Estimate",2020,925,0,0,0,0,0,0,0,5,14,10,29,32,30,48,33,151,129,113,278,10,36,7,0,0
"Census Tract 74, Multnomah County, Oregon!!Estimate",2020,"2,241",3,0,0,0,0,0,0,0,74,0,57,114,0,53,43,291,115,133,374,160,508,227,33,56
"Census Tract 75, Multnomah County, Oregon!!Estimate",2020,"3,659",45,0,0,0,0,0,0,5,0,0,20,11,16,17,114,611,96,90,559,312,"1,167",448,74,74
"Census Tract 76, Multnomah County, Oregon!!Estimate",2020,"2,454",115,0,18,0,0,0,0,0,173,0,19,59,18,18,89,331,102,98,425,233,502,208,38,8
"Census Tract 77, Multnomah County, Oregon!!Estimate",2020,"1,740",13,0,0,15,0,0,0,9,45,0,1,6,19,38,33,431,28,81,239,231,445,70,0,36
"Census Tract 78, Multnomah County, Oregon!!Estimate",2020,"1,771",36,17,0,0,3,0,0,0,0,0,0,0,32,42,32,398,74,140,282,179,345,144,35,12
"Census Tract 79, Multnomah County, Oregon!!Estimate",2020,"3,194",167,0,0,0,0,0,0,0,20,21,21,62,45,47,157,645,74,211,619,263,589,193,50,10
"Census Tract 80.01, Multnomah County, Oregon!!Estimate",2020,"2,181",80,0,0,0,0,0,0,0,0,0,0,1,15,24,48,536,80,160,284,303,436,170,9,35
"Census Tract 80.02, Multnomah County, Oregon!!Estimate",2020,"1,775",88,0,11,0,0,0,0,0,59,12,1,6,23,48,0,398,26,95,442,75,357,126,7,1
"Census Tract 81, Multnomah County, Oregon!!Estimate",2020,"6,381",125,13,0,0,0,0,16,51,76,0,36,145,56,110,55,"1,915",502,195,767,653,"1,196",418,4,48
"Census Tract 82.01, Multnomah County, Oregon!!Estimate",2020,"2,471",234,0,0,0,0,0,0,13,19,12,16,20,12,34,85,253,95,114,499,118,601,280,66,0
"Census Tract 82.03, Multnomah County, Oregon!!Estimate",2020,"3,936",0,0,0,0,0,15,71,17,29,22,21,59,47,25,59,936,183,242,836,409,560,241,164,0
"Census Tract 82.04, Multnomah County, Oregon!!Estimate",2020,"2,039",140,0,0,0,0,0,0,26,242,0,47,85,121,66,201,429,4,71,251,168,104,84,0,0
"Census Tract 83.01, Multnomah County, Oregon!!Estimate",2020,"3,139",317,0,0,19,22,0,0,0,90,10,16,55,29,12,176,553,88,284,376,288,566,163,15,60
